Sample_Index,Input_C/N,Input_SOM,Input_Temperature,Input_water contentration,Input_PH,Input_TN,Input_NH4,Input_NO3,Input_EC,Actual_Value,Predicted_Value
0,23.2563,279.709,45.9404,52.6443,7.7172600000000005,7.018689999999999,1.36889,59.446999999999996,1.28734,254.047,297.9453195646282
1,18.6347,265.173,70.83800000000001,50.5028,6.91865,8.28037,1.6444400000000001,89.369,1.55013,221.149,271.4432178897144
2,17.7642,251.403,77.3557,49.1061,6.84425,8.18224,1.90222,84.1589,1.9319400000000002,241.253,273.0461525641256
3,16.9659,229.217,72.7933,49.5717,6.02579,7.97196,1.55556,89.4157,2.21473,184.595,242.78303084430786
4,17.5387,232.02200000000002,69.2737,44.8231,5.77778,7.66355,1.5822200000000002,74.8602,2.57674,162.663,264.6336058319211
5,15.4037,218.25099999999998,69.5345,39.6089,6.60615,8.36449,1.44889,87.9752,2.4241,106.005,267.012967647627
6,15.9028,204.481,58.5847,34.9534,7.6875,8.36449,1.4933299999999998,87.2581,2.6625400000000004,67.624,276.0729301449865
7,16.2217,202.696,39.5531,32.6257,7.92063,8.210280000000001,1.54667,88.4105,2.24753,53.0026,267.7931894335537
8,21.4882,295.519,46.4618,56.3687,7.58829,7.71963,1.2933299999999999,56.4563,1.52496,164.491,340.0992343396148
9,18.2017,253.44299999999998,74.87899999999999,52.5512,7.414680000000001,8.813080000000001,2.35111,76.6587,1.8224099999999999,160.836,345.6783936613323
10,17.4756,240.947,80.7449,50.9683,6.90873,8.42056,2.0577799999999997,72.1963,2.28342,168.146,274.642443465352
11,16.0638,222.332,74.3575,50.0372,6.29365,9.0514,1.77778,81.5656,2.6553299999999997,182.768,249.05933641471358
12,16.7448,223.607,70.3166,47.2439,5.89187,8.72897,1.9111099999999999,84.9533,2.6708,188.251,243.14514389570684
13,16.1615,220.03599999999997,68.1006,38.4916,6.56151,9.640189999999999,1.7155599999999998,92.2739,2.89935,67.624,262.0118226845096
14,16.5885,208.81599999999997,59.1061,34.3948,7.6379,8.93925,1.8355599999999999,97.165,3.29126,49.3473,278.34710589168986
15,14.4898,204.99099999999999,39.8138,31.5084,7.9752,9.44393,1.7377799999999999,107.29,3.14851,42.0366,284.950024665091
16,26.5,56.0,4.0,65.8,7.38,1.85,1.59,271.0,1.78,3.8,22.185690197498815
17,28.6,47.0,65.0,55.6,7.06,1.58,2.41,205.0,3.17,324.0,203.22650876115705
18,24.5,36.0,58.0,46.2,5.93,1.36,2.15,239.0,2.64,207.0,218.02088763940802
19,17.82,38.0,43.0,43.9,7.62,1.63,1.95,286.0,3.04,165.0,256.32968439956227
20,10.62,37.0,22.0,40.6,8.05,1.66,1.93,340.0,2.53,57.0,84.63656694575324
21,19.22,54.0,4.0,73.1,7.37,1.78,1.53,265.0,1.83,2.3,36.43458910378112
22,23.51,45.0,63.0,64.5,7.09,1.51,2.45,202.0,3.31,274.0,205.73703587991125
23,20.95,39.0,60.0,53.7,5.9,1.34,2.16,234.0,2.58,251.0,204.67896569886588
24,17.55,30.0,50.0,52.7,7.63,1.5,1.93,288.0,2.98,162.0,268.1865244847003
25,9.62,39.0,28.0,42.9,8.04,1.78,1.87,331.0,2.51,44.0,150.72458772298504
26,26.1,55.9,4.0,65.3,7.33,1.74,1.56,265.0,1.79,2.9,22.897061443198872
27,28.2,42.1,66.0,55.1,7.09,1.59,2.4,184.0,3.12,242.0,213.37395722846372
28,24.2,37.2,55.0,46.5,5.93,1.35,2.08,232.0,2.58,262.0,223.61223526865967
29,17.3,39.7,44.0,44.6,7.58,1.55,1.88,290.0,2.98,123.0,250.4175416086501
30,10.5,26.6,25.0,40.5,8.0,1.54,1.87,325.0,2.46,49.0,119.1255690999854
31,19.31,52.9,5.0,72.9,7.88,1.96,1.69,351.0,2.15,1.65,28.401968199074194
32,23.22,46.1,60.0,64.3,7.55,1.69,2.34,300.0,3.72,263.0,239.8284301995729
33,21.29,36.7,56.0,53.1,6.74,1.53,2.15,348.0,3.18,234.0,240.12931158332015
34,17.36,37.8,50.0,52.1,7.94,1.76,1.84,397.0,3.38,212.0,271.6269013361549
35,9.96,33.9,30.0,44.6,8.23,1.97,1.77,438.0,2.75,90.0,145.62164261945517
36,25.85,51.1,7.0,65.4,7.85,2.03,1.64,342.0,2.12,4.2,25.505186263480578
37,28.25,41.0,70.0,55.2,7.52,1.64,2.32,291.0,3.66,238.0,279.0390308558863
38,24.05,33.1,58.0,46.8,6.74,1.48,2.14,331.0,3.17,223.0,232.98206802533088
39,17.5,33.0,48.0,44.7,7.95,1.57,1.81,407.0,3.44,178.0,285.57131969003575
40,9.51,31.2,22.0,39.5,8.22,1.78,1.78,419.0,2.83,82.0,89.61345032720595
41,19.19,50.8,6.0,72.4,7.88,1.86,1.65,351.0,2.03,3.15,35.1287767289489
42,23.95,37.1,60.0,65.6,7.52,1.71,2.27,291.0,3.72,249.0,244.30123293941463
43,21.42,36.1,52.0,54.0,6.71,1.25,2.07,347.0,3.25,233.0,249.218385813475
44,17.65,29.7,47.0,53.0,7.9,1.62,1.81,408.0,3.38,183.0,278.54950992618234
45,9.97,33.0,29.0,43.6,8.18,1.83,1.7,430.0,2.82,80.0,141.64322646005357
